Inicio del Ciclo,Grabando,Grabacion finalizada,Conversion a flac,API Request,API Response,Brain Request,Brain Response,Ejecutando TTS,
1.037813,4.737001,0.014559,1.314046,1.302481,0.008006,0.019424,0.005135,7.349697,
1.041028,4.793635,0.017914,1.333248,1.361182,0.007664,0.004065,0.010647,2.053557,
1.034897,4.760778,0.006087,2.78119,4.757202,0.007329,0.002384,0.007434,4.064224,
1.034307,2210.95026,0.000419,1.025919,1.711476,0.011851,0.00367,0.004729,4.614667,
1.029405,4.756673,0.002994,1.380577,1.802978,0.009714,0.006403,0.0046,2.079181,
1.06167,4.759584,0.005018,1.258902,1.456772,0.007887,0.002141,0.005587,1.753276,
1.030183,4.606247,-0.109533,1.627082,1.707021,0.006445,0.00231,0.005769,1.947009,
,4.780833,0.003016,1.552143,2.128873,0.009338,0.016871,0.005405,3.209994,
,5.053301,0.005285,1.678675,4.438642,0.012172,0.008921,0.004844,3.10826,
,4.628624,-0.004488,1.203812,2.899372,0.00804,0.003901,0.040053,3.114225,
,4.724148,0.010606,1.886319,5.958493,0.00998,0.002645,0.004026,3.974073,
,5.053287,0.009435,1.451759,3.949811,0.008441,0.017532,0.005607,4.380534,
,5.165585,0.003211,1.850353,3.735929,0.010146,0.003722,0.006857,51.658751,
,5.384544,0.009035,1.415846,2.572029,0.010496,0.003525,0.005077,2.118662,
,4.772025,0.000919,2.102238,2.198153,0.012365,0.017937,0.003956,3.475223,
,4.701222,0.009278,0.84946,3.271986,0.018525,0.003527,0.003794,4.217138,
,4.576234,0.004458,1.014909,5.62004,0.006936,0.015615,0.006344,2.990767,
,5.079743,0.015024,1.663565,3.254222,0.011796,0.003608,0.00466,2.022845,
,24.634741,0.009402,1.463293,2.10855,0.008013,0.005557,0.007127,4.159547,
,4.721719,-0.101583,1.403308,2.062206,0.008802,0.002476,0.005747,3.545279,
,4.816513,0.002648,1.290708,2.006542,0.007524,0.003004,0.033289,2.279118,
,4.971575,0.440129,1.367036,2.318483,0.008442,0.00508,0.007318,2.280613,
,4.932429,0.014833,1.554736,2.229527,0.011448,0.004127,0.004713,3.125386,
,5.178475,0.001324,1.083353,1.866437,0.007282,0.018071,0.005865,3.740232,
,5.135399,-0.099302,1.486497,2.243641,0.010429,0.001847,0.003873,4.265137,
,4.754025,-0.100109,1.176524,1.869155,0.010052,0.00333,0.00957,3.740044,
,5.075089,-0.113319,1.384588,4.016109,0.006953,0.003554,0.005673,1.947067,
,5.135917,0.00342,1.099882,1.807219,0.013013,0.007836,0.00403,3.988305,
,5.188326,0.005708,1.322748,2.55033,0.010041,0.003589,0.004858,1.85755,
,5.365687,0.002959,1.031208,3.689064,0.008084,0.002766,0.005089,1.560218,
,4.847949,-0.101612,1.578157,2.697146,0.008394,0.004314,0.005813,3.558753,
,5.008543,-0.000974,1.438629,2.807363,0.011212,0.004893,0.005031,4.420663,
,5.197449,0.010925,2.021267,2.522075,0.007307,0.002536,0.00654,3.273098,
,4.043258,0.011498,0.970415,2.534174,0.013093,0.004549,0.055295,3.898217,
